									Percentile	Global Written	Global Read	Temp Written	Temp Read
									20	43	28	0	0
									50	"26,434"	"12,310"	"3,621"	"5,270"
									90	"5,189,312"	"3,664,867"	"2,335,200"	"3,109,876"
									99	"109,872,552"	"104,301,900"	"48,835,649"	"57,291,349"
									99.9	"723,635,551"	"719,054,918"	"272,325,283"	"355,459,219"
									99.99	"2,870,992,194"	"2,870,710,332"	"2,095,380,984"	"2,121,207,419"
													
													
									Max	"4,744,884,684"	"4,743,848,299"	" 2,876,545,372 "	" 2,578,337,402 "
													
													
													
													
													
													
VC	Job	Total Read	Total Temp Read	Total Global Read	Total Written	Total Temp Written	Total Global Written						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-07_Job	0.384786	0.2775	0.107286	0.384786	0.268748	0.116038						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-08_Job	0.310762	0.225074	0.085688	0.310762	0.225074	0.085688						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-09_Job	0.297025	0.218894	0.078131	0.297025	0.198676	0.098349						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-10_Job	0.246065	0.180403	0.065662	0.246065	0.174543	0.071522						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-11_Job	0.184184	0.135458	0.048726	0.184184	0.135458	0.048726						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-12_Job	0.116596	0.081616	0.03498	0.116596	0.081362	0.035234						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-14-13_Job	0.091217	0.064176	0.027041	0.091217	0.064176	0.027041						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-12-23_Job	6081.389513	5902.305815	179.083698	6081.389513	4429.359729	1652.029784						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-00_Job	5981.488533	5802.485804	179.002729	5981.488533	4340.468267	1641.020266						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-01_Job	5957.054501	5778.052088	179.002413	5957.054501	4316.043855	1641.010646						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-02_Job	6012.243695	5833.241282	179.002413	6012.243695	4371.233049	1641.010646						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-03_Job	6042.273636	5863.271223	179.002413	6042.273636	4401.26299	1641.010646						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-04_Job	6062.382183	5883.37977	179.002413	6062.382183	4421.371537	1641.010646						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-05_Job	6166.586037	5987.583624	179.002413	6166.586037	4525.575391	1641.010646						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-06_Job	5957.573061	5778.57065	179.002411	5957.573061	4316.562417	1641.010644						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-07_Job	6109.121111	5930.118727	179.002384	6109.121111	4468.110494	1641.010617						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-08_Job	5962.585512	5783.583128	179.002384	5962.585512	4321.574895	1641.010617						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-09_Job	5996.177865	5817.175481	179.002384	5996.177865	4354.887579	1641.290286						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-10_Job	5933.364686	5754.362304	179.002382	5933.364686	4292.354071	1641.010615						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-11_Job	6034.660195	5855.657834	179.002361	6034.660195	4393.642019	1641.018176						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-12_Job	6271.562698	6092.560337	179.002361	6271.562698	4626.3578	1645.204898						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-13_Job	6002.255036	5823.252675	179.002361	6002.255036	4361.244442	1641.010594						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-14_Job	6059.556843	5880.554482	179.002361	6059.556843	4418.546249	1641.010594						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-15_Job	6093.382239	5914.379878	179.002361	6093.382239	4452.371645	1641.010594						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-16_Job	6090.290618	5911.288257	179.002361	6090.290618	4449.280024	1641.010594						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-17_Job	6076.190391	5897.18803	179.002361	6076.190391	4435.179797	1641.010594						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-18_Job	5948.768158	5769.76492	179.003238	5948.768158	4307.755846	1641.012312						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-19_Job	6066.933316	5887.930078	179.003238	6066.933316	4425.921004	1641.012312						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-20_Job	5934.350996	5755.347758	179.003238	5934.350996	4293.338684	1641.012312						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-21_Job	6007.192023	5828.188785	179.003238	6007.192023	4366.179711	1641.012312						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-22_Job	5937.579808	5758.575107	179.004701	5937.579808	4296.564606	1641.015202						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-13-23_Job	6016.142736	5837.138035	179.004701	6016.142736	4375.127534	1641.015202						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-00_Job	6063.85298	5893.40369	170.44929	6063.85298	4452.408686	1611.444294						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-01_Job	5981.244494	5810.803818	170.440676	5981.244494	4382.484451	1598.760043						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-02_Job	6096.520566	5926.085377	170.435189	6096.520566	4497.76601	1598.754556						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-03_Job	5919.68335	5749.248242	170.435108	5919.68335	4320.928875	1598.754475						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-04_Job	5949.450286	5779.015178	170.435108	5949.450286	4350.557349	1598.892937						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-05_Job	6062.653096	5892.217988	170.435108	6062.653096	4462.196704	1600.456392						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-06_Job	5919.96087	5749.525762	170.435108	5919.96087	4321.206395	1598.754475						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-07_Job	5906.991024	5736.555916	170.435108	5906.991024	4308.236549	1598.754475						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-08_Job	5951.126494	5780.691394	170.4351	5951.126494	4352.372027	1598.754467						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-09_Job	6027.951616	5857.516624	170.434992	6027.951616	4429.197257	1598.754359						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-10_Job	6111.032376	5940.597386	170.43499	6111.032376	4512.278019	1598.754357						
